Number,Catch_length,Catch_weight,Catch_date,Catch_location,Recaptures,Recapture_weight,Catch_method,Recapture_location,specificity grade,Recapture_lon,Recapture_lat,Recapture_date,Recapture_length,Recapture_method,Tag,Remark,Catch_lon,Catch_lat
68,22,NA,27/03/2006,Oostende_Spuikom,,,line_fishing,,,,,,,,,,2.95,51.23
69,21,NA,1/07/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
70,25.5,NA,18/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
71,28,NA,24/06/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
72,28.5,NA,18/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
73,20,NA,27/03/2006,Oostende_Spuikom,,,line_fishing,,,,,,,,,,2.95,51.23
74,32,NA,6/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
75,26.5,NA,5/08/2006,Zeebrugge_Westdam,"Terug te Frankrijk op 13/03/2008 - boomkor - 37,5cm",NA,line_fishing,France,1,2.19,51.03,13/03/2008,37.5,beam trawl,,,3.1833,51.3617
76,18,NA,27/03/2006,Oostende_Spuikom,,,line_fishing,,,,,,,,,,2.95,51.23
77,19.5,NA,27/03/2006,Oostende_Spuikom,,,line_fishing,,,,,,,,,,2.95,51.23
78,19.5,NA,27/03/2006,Oostende_Spuikom,,,line_fishing,,,,,,,,,,2.95,51.23
79,22.5,NA,29/06/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
80,26,NA,27/03/2006,Oostende_Spuikom,,,line_fishing,,,,,,,,,,2.95,51.23
81,23.5,NA,18/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
82,23.5,NA,27/03/2006,Oostende_Spuikom,,,line_fishing,,,,,,,,,,2.95,51.23
83,34.5,NA,18/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
84,32,NA,2/05/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
85,23,NA,1/07/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
86,29.5,NA,15/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
87,24.5,NA,27/03/2006,Oostende_Spuikom,,,line_fishing,,,,,,,,,,2.95,51.23
88,34,NA,4/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
89,22,NA,15/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
90,34,NA,5/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
91,18.5,NA,27/03/2006,Oostende_Spuikom,,,line_fishing,,,,,,,,,,2.95,51.23
92,33,NA,18/06/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
93,35,NA,26/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
94,30,NA,15/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
95,28.5,NA,5/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
96,21,NA,5/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
97,31,NA,15/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
98,27.5,NA,5/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
99,35.5,NA,18/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
